world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3330.207938,1517,0.980199449,0.312388982,0.305753406,3330.204858-0 3330.211018-1,,,,,,,,,,,,,,,
3330.211973,1517,0.980199449,0.313418626,0.306154332,3330.212928-0 3330.211018-1,,,,,,,,,,,,,,,
3330.216009,1517,0.983950242,0.313213115,0.306262225,3330.212928-0 3330.219089-1,,,,,,,,,,,,,,,
3330.220044,1517,0.983950242,0.311927488,0.307626082,3330.220999-0 3330.219089-1,,,,,,,,,,,,,,,
3330.224079,1517,0.952290825,0.311696907,0.307206037,3330.220999-0 3330.227159-1,,,,,,,,,,,,,,,
3330.228114,1517,0.952290825,0.311892285,0.304551811,3330.229069-0 3330.227159-1,,,,,,,,,,,,,,,
3330.232149,1517,0.939756623,0.31164201,0.303307055,3330.229069-0 3330.235229-1,,,,,,,,,,,,,,,
3330.236184,1517,0.939756623,0.311462537,0.304757229,3330.237139-0 3330.235229-1,,,,,,,,,,,,,,,
3330.240219,1518,0.971076112,0.311568736,0.306159465,3330.237139-0 3330.243299-1,,,,,,,,,,,,,,,
3330.244254,1518,0.971076112,0.309385996,0.304461483,3330.245209-0 3330.243299-1,,,,,,,,,,,,,,,
3330.248289,1518,0.990396251,0.309021784,0.304005335,3330.245209-0 3330.251369-1,,,,,,,,,,,,,,,
3330.252324,1518,0.990396251,0.311607591,0.305414704,3330.253279-0 3330.251369-1,,,,,,,,,,,,,,,
3330.256359,1518,1,0.31146436,0.304758252,3330.253279-0 3330.259439-1,,,,,,,,,,,,,,,
3330.260394,1518,1,0.310522896,0.304065668,3330.261349-0 3330.259439-1,,,,,,,,,,,,,,,
